Date_time,city,state/province,country,UFO_shape,length_of_encounter_seconds,described_duration_of_encounter,description,date_documented,latitude,longitude
9/28/2013 19:00,eddyville,ky,us,fireball,1200.0,~15-20 minutes,My friend and I were driving south when we saw a fireball in the sky. It was a little higher than any kite I have seen and absolutely s,9/30/2013,37.0944444,-88.0802778
04/04/2010 16:00,haddam,ct,us,cigar,300,5 minutes,Multiple zigzagging white objects far up in the sky,4/13/2010,41.4772222,-72.5125
7/30/2010 21:15,ridgecrest,ca,us,unknown,360,6 min,Hovering lights without sound,10/10/2011,35.6225,-117.67
03/10/1995 20:45,portland,or,us,,2,2 sec.,Man witnessed bright obj. &quot;like ice cream cone&quot; streak across sky above city in arc path.  F-16&#39s reported.,11/02/1999,45.5236111,-122.675
09/09/2003 02:30,port st. lucie,fl,,fireball,180.0,3 minutes,look like somethig cought on fire while entering the atmosphere,09/12/2003,27.273049,-80.358226
03/01/2005 01:15,auckland (new zealand),,,circle,60,1 minute,Auckland New Zealand Sighting 1 March 2005,4/16/2005,-36.84846,174.763332
04/05/2005 21:00,phelan,ca,us,changing,1500,25 minutes,Large object that consisted of a configuration (in a row) of very large orange lights in High Desert.,4/16/2005,34.4261111,-117.5713889
3/15/1987 03:00,scottsdale,az,us,light,180,three minuets,Bright light takes off into the skys over Scottsdale&#44 AZ in 1987,01/10/2009,33.5091667,-111.8983333
10/06/2007 18:30,arlington heights,il,us,teardrop,60,1 minute,teardrop shaped object over arlington heights,11/28/2007,42.0883333,-87.9805556
8/20/1979 19:00,dekalb,il,us,fireball,900.0,15 minutes,Firesball hovering over cornfeild&#44&#44looks like red/orande with molten dribble..goes back &amp; forth across field and then rises and novas,3/16/2001,41.9294444,-88.7502778
6/17/2009 23:00,newcastle-under-lyme (uk/england),,,teardrop,300,5 minutes,15 Flying objects sighted.,08/05/2009,53.013208,-2.2273
08/09/2013 23:00,centerville,ga,us,triangle,900.0,15 minutes,Triangular UFO following a red light.,8/30/2013,32.63,-83.6897222
1/17/2006 18:00,folsom,ca,us,triangle,300,5 minutes,black government triangular shape hovering above Hwy 50 in Sacramento,2/14/2006,38.6780556,-121.175
3/26/1991 20:30,wishek,nd,us,sphere,120,2 minutes,Double sphere object came floating in. Stopped and then  sped off at lightning speed.,2/21/2014,46.2569444,-99.5566667
08/04/2004 16:19,apple valley,mn,us,sphere,180.0,2-3min,approximately at 16:19 I was observing the sky (it was beautiful) and there were a few passenger planes passing&#44 going in and out cloud,08/11/2004,44.7319444,-93.2175
11/08/2003 19:50,bridgewater,nj,,light,30,30 seconds,During a lunar eclipse: faint reddish light zig-zagging swiftly away from the moon.,11/11/2003,40.623333,-74.601111
01/04/1997 21:00,steinhatchee,fl,us,cigar,300,5 min,It was orangish reddish in color as if it were passing through the atmosphere.A craft at this height must have been massive.,4/15/2000,29.6708333,-83.3877778
02/03/2002 00:00,penobscot,me,us,light,1800,30 min,A silent craft with three lights hovering.,3/17/2004,44.4644444,-68.7116667
09/03/2002 05:15,austin,tx,us,oval,15.0,15 seconds,Bright Star-Like object obsevered in South-East Sky,9/13/2002,30.2669444,-97.7427778
